,Historical population data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Measure: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time horizon: Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Combined unit of measure: Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time period,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
,,"5,113,691","5,120,534","5,127,024","5,129,517","5,132,594","5,140,939","5,154,298","5,171,370","5,189,377","5,204,994","5,227,861","5,261,503","5,284,220","5,301,304","5,319,111","5,337,344","5,355,082","5,374,255","5,387,174","5,401,177","5,415,978","5,434,567","5,457,415","5,489,022","5,519,441","5,543,819","5,566,856","5,587,085","5,608,784","5,639,719","5,678,348","5,724,456","5,760,694","5,789,957","5,814,461","5,825,337","5,850,189","5,910,577",
,Reference area: Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1,528,781","1,540,190","1,552,221","1,561,900","1,568,131","1,569,174","1,561,314","1,533,091","1,494,128","1,462,514","1,436,634","1,415,594","1,399,535","1,386,156","1,375,654","1,396,985","1,388,115","1,379,350","1,370,720","1,362,550","1,354,775","1,346,810","1,340,680","1,337,090","1,334,515","1,331,475","1,327,439","1,322,696","1,317,997","1,314,545","1,314,608","1,315,790","1,317,384","1,321,977","1,326,855","1,329,479","1,330,932","1,348,840",
,Reference area: Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4,902,202","4,918,150","4,932,123","4,946,487","4,964,370","4,986,433","5,013,737","5,041,990","5,066,452","5,088,324","5,107,787","5,124,573","5,139,839","5,153,499","5,165,470","5,176,203","5,188,005","5,200,598","5,213,010","5,228,173","5,246,100","5,266,266","5,288,719","5,313,398","5,338,867","5,363,341","5,388,272","5,413,967","5,438,975","5,461,507","5,479,528","5,495,297","5,508,209","5,515,525","5,521,605","5,529,545","5,541,020","5,556,108",
,Reference area: France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"55,284,271","55,546,504","55,823,956","56,117,974","56,423,411","56,708,826","58,425,681","58,711,615","58,961,049","59,175,335","59,383,991","59,589,289","59,795,263","60,011,008","60,315,406","60,724,780","61,163,237","61,604,550","62,037,544","62,490,800","62,958,328","63,393,406","63,781,275","64,133,174","64,458,715","64,773,169","65,087,317","65,402,998","65,735,961","66,276,671","66,512,558","66,688,563","66,883,314","67,125,071","67,349,922","67,538,482","67,738,863","67,942,590",
,Reference area: Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"77,684,878","77,720,438","77,839,920","78,144,617","78,751,284","79,433,034","80,013,901","80,624,601","81,156,368","81,438,346","81,678,046","81,914,834","82,034,775","82,047,197","82,100,243","82,211,501","82,349,926","82,488,493","82,534,175","82,516,268","82,469,421","82,376,447","82,266,373","82,110,097","81,902,308","81,776,936","80,274,981","80,425,826","80,645,605","80,982,495","81,686,608","82,348,669","82,657,000","82,905,788","83,092,956","83,160,877","83,196,076","83,797,987",
,Reference area: Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"9,934,294","9,967,264","10,000,644","10,037,037","10,089,550","10,196,801","10,319,928","10,399,058","10,460,409","10,512,924","10,562,160","10,608,801","10,661,264","10,720,507","10,761,698","10,805,806","10,862,129","10,902,022","10,928,072","10,955,142","10,987,316","11,020,366","11,048,466","11,077,839","11,107,017","11,121,344","11,104,900","11,045,010","10,965,209","10,892,415","10,820,883","10,775,966","10,754,679","10,732,877","10,721,584","10,698,597","10,569,211","10,361,270",
,Reference area: Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"10,648,715","10,630,565","10,612,743","10,596,489","10,481,717","10,373,987","10,373,398","10,369,339","10,357,518","10,343,359","10,328,967","10,311,235","10,290,475","10,266,571","10,237,527","10,210,965","10,187,578","10,158,610","10,129,554","10,107,140","10,087,064","10,071,374","10,055,778","10,038,186","10,022,647","10,000,020","9,958,824","9,920,364","9,893,083","9,866,466","9,843,025","9,814,026","9,787,969","9,775,566","9,771,142","9,750,153","9,709,893","9,643,048",
,Reference area: Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"241,409","243,187","245,864","249,734","252,851","254,820","257,795","261,053","263,730","266,021","267,467","268,918","271,130","274,049","277,384","281,200","284,970","287,516","289,522","292,077","296,734","303,784","311,567","317,404","318,501","318,044","319,011","320,723","323,763","327,379","330,818","335,435","343,399","352,722","360,558","366,462","372,523","382,005",
,Reference area: Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3,540,000","3,540,600","3,546,500","3,530,700","3,509,500","3,505,800","3,525,700","3,554,500","3,574,100","3,585,900","3,601,300","3,626,087","3,664,313","3,703,082","3,741,647","3,789,536","3,847,198","3,917,203","3,979,853","4,045,188","4,133,839","4,232,929","4,375,842","4,485,070","4,533,395","4,554,763","4,574,888","4,593,697","4,614,669","4,645,440","4,687,787","4,739,597","4,792,490","4,857,015","4,921,496","4,977,443","5,011,460","5,100,229",
,Reference area: Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4,233,000","4,298,800","4,368,900","4,441,700","4,518,200","4,660,200","4,949,100","5,123,500","5,261,400","5,399,300","5,544,900","5,685,100","5,828,900","5,970,700","6,125,300","6,289,200","6,439,037","6,569,957","6,689,748","6,808,969","6,930,128","7,053,707","7,180,160","7,331,353","7,485,565","7,623,561","7,765,832","7,910,525","8,059,456","8,215,668","8,380,149","8,546,009","8,713,268","8,882,764","9,054,026","9,215,113","9,371,400","9,528,600",
,Reference area: Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"56,593,070","56,596,157","56,601,936","56,629,290","56,671,778","56,719,239","56,758,522","56,797,078","56,831,823","56,843,400","56,844,301","56,860,279","56,890,371","56,906,744","56,916,316","56,942,108","56,976,976","57,089,823","57,399,187","57,828,178","58,166,684","58,399,863","58,756,247","59,211,183","59,555,456","59,819,402","60,026,844","60,191,243","60,311,616","60,320,708","60,229,599","60,115,220","60,002,254","59,877,216","59,729,077","59,438,845","59,133,173","58,940,424",
,Reference area: Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"121,048,923","121,660,000","122,239,000","122,745,000","123,205,000","123,611,167","124,101,000","124,567,000","124,938,000","125,265,000","125,570,246","125,864,000","126,166,000","126,486,000","126,686,000","126,925,843","127,291,000","127,435,000","127,619,000","127,687,000","127,767,994","127,900,515","128,032,743","128,083,960","128,031,514","128,057,352","127,834,233","127,592,657","127,413,888","127,237,150","127,094,745","127,041,812","126,918,546","126,748,506","126,555,078","126,146,099","125,502,290","124,946,789",
,Reference area: Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"40,805,744","41,213,674","41,621,690","42,031,247","42,449,038","42,869,283","43,295,704","43,747,962","44,194,628","44,641,540","45,092,991","45,524,681","45,953,580","46,286,503","46,616,677","47,008,111","47,370,164","47,644,736","47,892,330","48,082,519","48,184,561","48,438,292","48,683,638","49,054,708","49,307,835","49,554,112","49,936,638","50,199,853","50,428,893","50,746,659","51,014,947","51,217,803","51,361,911","51,585,058","51,764,822","51,836,239","51,744,876","51,628,117",
,Reference area: Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2,578,873","2,599,892","2,626,583","2,653,434","2,666,955","2,663,146","2,650,581","2,614,338","2,563,289","2,520,742","2,485,054","2,457,226","2,432,851","2,410,027","2,390,477","2,367,549","2,337,172","2,310,176","2,287,955","2,263,123","2,238,799","2,218,351","2,200,325","2,177,324","2,141,668","2,097,553","2,059,710","2,034,324","2,012,647","1,993,785","1,977,523","1,959,535","1,942,247","1,927,170","1,913,826","1,900,448","1,884,488","1,879,374",
,Reference area: Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3,544,543","3,578,914","3,616,367","3,655,049","3,684,255","3,697,838","3,704,134","3,700,114","3,682,613","3,657,144","3,629,102","3,601,613","3,575,137","3,549,331","3,524,237","3,499,534","3,470,818","3,443,067","3,415,213","3,377,075","3,322,528","3,269,909","3,231,294","3,198,231","3,162,916","3,097,282","3,028,115","2,987,773","2,957,689","2,932,367","2,904,910","2,868,231","2,828,403","2,801,543","2,794,137","2,794,885","2,808,380","2,833,000",
,Reference area: Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"366,707","368,354","370,751","373,450","377,095","381,857","386,999","392,171","397,481","402,921","408,625","414,228","419,440","424,699","430,475","436,303","441,522","446,166","451,626","458,098","465,152","472,641","479,992","488,647","497,783","506,953","518,351","530,952","543,358","556,322","569,605","583,459","596,337","607,950","620,003","630,413","640,064","653,108",
,Reference area: Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
