STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,CATEGORY,Category of environmentally related tax revenue,DOMAIN,Domain of environmentally related tax revenue,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,Time period,OBS_VALUE,Observation value,PRICE_BASE,Price base,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,DECIMALS,Decimals,UNIT_MULT,Unit multiplier,REF_YEAR_PRICE,Reference year price,CURRENCY,Currency
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,HUN,Hungary,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2021,,0.179608563767915,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,HUN,Hungary,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2020,,0.186468177530145,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,HUN,Hungary,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2019,,0.202809960870439,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,HUN,Hungary,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2018,,0.211288203230897,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,HUN,Hungary,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2017,,0.22871688295869,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,HUN,Hungary,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2002,,0.115236104639828,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,HUN,Hungary,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2001,,0.107571418366485,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,OECD_REP,OECD average country,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2000,,0.107591278357914,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,OECD_REP,OECD average country,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,1999,,0.101944627316878,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,OECD_REP,OECD average country,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2014,,0.0993680574281785,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,OECD_REP,OECD average country,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2013,,0.101036865488211,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,OECD_REP,OECD average country,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2012,,0.102162207287879,,,,A,Normal value,,,2,Two,0,Units,,,,
